"","date","Antarctic_mass","monthly_average","No_Smoothing","Greenland_mass","extent"
"774",2007.2083,NA,384.81,NA,NA,NA
"775",2007.29,-327.42,NA,NA,-1028.84,NA
"776",2007.2917,NA,386.73,NA,NA,NA
"777",2007.37,-171.53,NA,NA,-1016.84,NA
"778",2007.375,NA,386.78,NA,NA,NA
"779",2007.45,-183.02,NA,NA,-1036.51,NA
"780",2007.4583,NA,386.33,NA,NA,NA
"781",2007.54,-259.85,NA,NA,-1166.26,NA
"782",2007.5417,NA,384.73,NA,NA,NA
"783",2007.62,-223.61,NA,NA,-1362.49,NA
"784",2007.625,NA,382.24,NA,NA,NA
"785",2007.7083,NA,381.2,NA,NA,NA
"786",2007.71,-150.57,NA,NA,-1425.08,NA
"787",2007.79,-239.08,NA,NA,-1452.66,NA
"788",2007.7917,NA,381.37,NA,NA,NA
"789",2007.87,-431.28,NA,NA,-1429.76,NA
"790",2007.875,NA,382.7,NA,NA,NA
"791",2007.9583,NA,384.19,NA,NA,NA
"792",2007.96,-513.31,NA,NA,-1368.96,NA
"793",2008,NA,NA,0.54,NA,"4,69"
"794",2008.04,-720.76,NA,NA,-1330.29,NA
"795",2008.0417,NA,385.78,NA,NA,NA
"796",2008.12,-600.08,NA,NA,-1347.42,NA
"797",2008.125,NA,386.06,NA,NA,NA
"798",2008.2083,NA,386.28,NA,NA,NA
"799",2008.21,-731.84,NA,NA,-1293.2,NA
"800",2008.29,-555.54,NA,NA,-1312.12,NA
"801",2008.2917,NA,387.33,NA,NA,NA
"802",2008.37,-465.02,NA,NA,-1328.38,NA
"803",2008.375,NA,388.78,NA,NA,NA
"804",2008.4583,NA,387.99,NA,NA,NA
"805",2008.46,-548.6,NA,NA,-1331.03,NA
"806",2008.54,-643.52,NA,NA,-1478.15,NA
"807",2008.5417,NA,386.61,NA,NA,NA
"808",2008.62,-594.91,NA,NA,-1639.09,NA
"809",2008.625,NA,384.32,NA,NA,NA
"810",2008.7083,NA,383.41,NA,NA,NA
"811",2008.71,-434.81,NA,NA,-1703.15,NA
"812",2008.79,-524.29,NA,NA,-1692.94,NA
"813",2008.7917,NA,383.21,NA,NA,NA
"814",2008.87,-512.7,NA,NA,-1618.32,NA
"815",2008.875,NA,384.41,NA,NA,NA
"816",2008.9583,NA,385.79,NA,NA,NA
"817",2008.96,-617.1,NA,NA,-1545,NA
"818",2009,NA,NA,0.65,NA,"5,26"
"819",2009.04,-697.78,NA,NA,-1526.44,NA
"820",2009.0417,NA,387.17,NA,NA,NA
"821",2009.12,-672.49,NA,NA,-1572.82,NA
"822",2009.125,NA,387.7,NA,NA,NA
"823",2009.2,-609.29,NA,NA,-1573.28,NA
"824",2009.2083,NA,389.04,NA,NA,NA
"825",2009.29,-571.38,NA,NA,-1553.29,NA
"826",2009.2917,NA,389.76,NA,NA,NA
"827",2009.37,-545.86,NA,NA,-1534.09,NA
"828",2009.375,NA,390.36,NA,NA,NA
"829",2009.4583,NA,389.7,NA,NA,NA
"830",2009.46,-532.31,NA,NA,-1542.69,NA
"831",2009.54,-431.32,NA,NA,-1651.69,NA
"832",2009.5417,NA,388.24,NA,NA,NA
"833",2009.62,-461.85,NA,NA,-1860.31,NA
"834",2009.625,NA,386.29,NA,NA,NA
"835",2009.7083,NA,384.95,NA,NA,NA
"836",2009.71,-474.72,NA,NA,-1914.96,NA
"837",2009.79,-529.23,NA,NA,-1890.45,NA
"838",2009.7917,NA,384.64,NA,NA,NA
"839",2009.87,-515.5,NA,NA,-1872.26,NA
"840",2009.875,NA,386.23,NA,NA,NA
"841",2009.9583,NA,387.63,NA,NA,NA
"842",2009.96,-625.31,NA,NA,-1847.29,NA
"843",2010,NA,NA,0.72,NA,"4,87"
"844",2010.04,-795.23,NA,NA,-1849.96,NA
"845",2010.0417,NA,388.91,NA,NA,NA
"846",2010.12,-801.35,NA,NA,-1831.11,NA
"847",2010.125,NA,390.41,NA,NA,NA
"848",2010.2,-682.39,NA,NA,-1820.42,NA
"849",2010.2083,NA,391.37,NA,NA,NA
"850",2010.29,-752.63,NA,NA,-1842.03,NA
"851",2010.2917,NA,392.67,NA,NA,NA
"852",2010.37,-773.96,NA,NA,-1810.74,NA
"853",2010.375,NA,393.21,NA,NA,NA
"854",2010.45,-790.51,NA,NA,-1917.02,NA
"855",2010.4583,NA,392.38,NA,NA,NA
"856",2010.54,-989.84,NA,NA,-2092.98,NA
"857",2010.5417,NA,390.41,NA,NA,NA
"858",2010.62,-916.86,NA,NA,-2286.96,NA
"859",2010.625,NA,388.54,NA,NA,NA
"860",2010.7083,NA,387.03,NA,NA,NA
"861",2010.71,-838.33,NA,NA,-2385.05,NA
"862",2010.79,-869.79,NA,NA,-2349.55,NA
"863",2010.7917,NA,387.43,NA,NA,NA
"864",2010.87,-890.57,NA,NA,-2365.72,NA
"865",2010.875,NA,388.87,NA,NA,NA
"866",2010.95,-903.52,NA,NA,-2348.91,NA
"867",2010.9583,NA,389.99,NA,NA,NA
"868",2011,NA,NA,0.61,NA,"4,56"
"869",2011.0417,NA,391.5,NA,NA,NA
"870",2011.125,NA,392.05,NA,NA,NA
"871",2011.13,-994.81,NA,NA,-2328.28,NA
"872",2011.2,-1008.99,NA,NA,-2312.92,NA
"873",2011.2083,NA,392.8,NA,NA,NA
"874",2011.29,-1021.11,NA,NA,-2308.26,NA
"875",2011.2917,NA,393.44,NA,NA,NA
"876",2011.37,-955.17,NA,NA,-2327.67,NA
"877",2011.375,NA,394.41,NA,NA,NA
"878",2011.4583,NA,393.95,NA,NA,NA
"879",2011.54,-903.35,NA,NA,-2517.55,NA
"880",2011.5417,NA,392.72,NA,NA,NA
"881",2011.62,-918.81,NA,NA,-2711.74,NA
"882",2011.625,NA,390.33,NA,NA,NA
"883",2011.7083,NA,389.28,NA,NA,NA
"884",2011.71,-829.25,NA,NA,-2769.48,NA
"885",2011.79,-874.95,NA,NA,-2792.3,NA
"886",2011.7917,NA,389.19,NA,NA,NA
"887",2011.83,-870.33,NA,NA,-2791.36,NA
"888",2011.875,NA,390.48,NA,NA,NA
"889",2011.9583,NA,392.06,NA,NA,NA
"890",2012,-1138.07,NA,0.65,-2731.23,"3,57"
"891",2012.04,-1067.41,NA,NA,-2741.45,NA
"892",2012.0417,NA,393.31,NA,NA,NA
"893",2012.12,-1131.21,NA,NA,-2722.06,NA
"894",2012.125,NA,394.04,NA,NA,NA
"895",2012.2083,NA,394.59,NA,NA,NA
"896",2012.21,-1107.48,NA,NA,-2677.93,NA
"897",2012.26,-1047.95,NA,NA,-2665.5,NA
"898",2012.2917,NA,396.38,NA,NA,NA
"899",2012.375,NA,396.93,NA,NA,NA
"900",2012.4583,NA,395.91,NA,NA,NA
"901",2012.46,-1084.31,NA,NA,-2695.14,NA
"902",2012.54,-1051.33,NA,NA,-2925.53,NA
"903",2012.5417,NA,394.56,NA,NA,NA
"904",2012.62,-971.21,NA,NA,-3237,NA
"905",2012.625,NA,392.59,NA,NA,NA
"906",2012.7,-938.21,NA,NA,-3337.32,NA
"907",2012.7083,NA,391.32,NA,NA,NA
"908",2012.7917,NA,391.27,NA,NA,NA
"909",2012.875,NA,393.2,NA,NA,NA
"910",2012.88,-1059.38,NA,NA,-3270.76,NA
"911",2012.9583,NA,394.57,NA,NA,NA
"912",2012.96,-1105.82,NA,NA,-3258.62,NA
"913",2013,NA,NA,0.67,NA,"5,21"
"914",2013.04,-1276.52,NA,NA,-3253.72,NA
"915",2013.0417,NA,395.78,NA,NA,NA
"916",2013.12,-1384.04,NA,NA,-3245.21,NA
"917",2013.125,NA,397.03,NA,NA,NA
"918",2013.2083,NA,397.66,NA,NA,NA
"919",2013.2917,NA,398.64,NA,NA,NA
"920",2013.3,-1125.36,NA,NA,-3244.17,NA
"921",2013.37,-1227.25,NA,NA,-3206.41,NA
"922",2013.375,NA,400.02,NA,NA,NA
"923",2013.4583,NA,398.81,NA,NA,NA
"924",2013.46,-1235.45,NA,NA,-3189.4,NA
"925",2013.54,-1197.92,NA,NA,-3300.88,NA
"926",2013.5417,NA,397.51,NA,NA,NA
"927",2013.625,NA,395.39,NA,NA,NA
"928",2013.7083,NA,393.72,NA,NA,NA
"929",2013.79,-1289.52,NA,NA,-3363.56,NA
"930",2013.7917,NA,393.9,NA,NA,NA
"931",2013.87,-1336.74,NA,NA,-3363.83,NA
"932",2013.875,NA,395.36,NA,NA,NA
"933",2013.9583,NA,397.03,NA,NA,NA
"934",2013.96,-1388.09,NA,NA,-3353.18,NA
"935",2014,NA,NA,0.74,NA,"5,22"
"936",2014.02,-1497.8,NA,NA,-3337.21,NA
"937",2014.0417,NA,398.04,NA,NA,NA
"938",2014.125,NA,398.27,NA,NA,NA
"939",2014.2,-1604.11,NA,NA,-3285.69,NA
"940",2014.2083,NA,399.91,NA,NA,NA
"941",2014.29,-1523.72,NA,NA,-3274.52,NA
"942",2014.2917,NA,401.51,NA,NA,NA
"943",2014.37,-1430.18,NA,NA,-3272.19,NA
"944",2014.375,NA,401.96,NA,NA,NA
"945",2014.45,-1474.46,NA,NA,-3312.63,NA
"946",2014.4583,NA,401.43,NA,NA,NA
"947",2014.5417,NA,399.27,NA,NA,NA
"948",2014.62,-1522.64,NA,NA,-3595.26,NA
"949",2014.625,NA,397.18,NA,NA,NA
"950",2014.7083,NA,395.54,NA,NA,NA
"951",2014.71,-1349.46,NA,NA,-3634.17,NA
"952",2014.79,-1438.74,NA,NA,-3616.64,NA
"953",2014.7917,NA,396.16,NA,NA,NA
"954",2014.875,NA,397.4,NA,NA,NA
"955",2014.88,-1513.09,NA,NA,-3612.98,NA
"956",2014.9583,NA,399.08,NA,NA,NA
"957",2015,NA,NA,0.89,NA,"4,62"
"958",2015.0417,NA,400.18,NA,NA,NA
"959",2015.06,-1817.86,NA,NA,-3527.48,NA
"960",2015.12,-1894.34,NA,NA,-3533.11,NA
"961",2015.125,NA,400.55,NA,NA,NA
"962",2015.2,-1858.86,NA,NA,-3488.63,NA
"963",2015.2083,NA,401.74,NA,NA,NA
"964",2015.29,-1837.87,NA,NA,-3479.57,NA
"965",2015.2917,NA,403.35,NA,NA,NA
"966",2015.32,-1765.62,NA,NA,-3477.08,NA
"967",2015.375,NA,404.15,NA,NA,NA
"968",2015.4583,NA,402.97,NA,NA,NA
"969",2015.53,-1733.56,NA,NA,-3663.24,NA
"970",2015.5417,NA,401.46,NA,NA,NA
"971",2015.62,-1883.31,NA,NA,-3798.55,NA
"972",2015.625,NA,399.11,NA,NA,NA
"973",2015.7,-1837.29,NA,NA,-3832.01,NA
"974",2015.7083,NA,397.82,NA,NA,NA
"975",2015.7917,NA,398.49,NA,NA,NA
"976",2015.875,NA,400.27,NA,NA,NA
"977",2015.9583,NA,402.06,NA,NA,NA
"978",2015.98,-1881.26,NA,NA,-3778.2,NA
"979",2016,NA,NA,1.01,NA,"4,53"
"980",2016.04,-1902.3,NA,NA,-3722.47,NA
"981",2016.0417,NA,402.73,NA,NA,NA
"982",2016.12,-1978.22,NA,NA,-3744.12,NA
"983",2016.125,NA,404.25,NA,NA,NA
"984",2016.2083,NA,405.06,NA,NA,NA
"985",2016.21,-1913.92,NA,NA,-3744.58,NA
"986",2016.2917,NA,407.6,NA,NA,NA
"987",2016.375,NA,407.9,NA,NA,NA
"988",2016.38,-1777.79,NA,NA,-3712.72,NA
"989",2016.4583,NA,406.99,NA,NA,NA
"990",2016.46,-1760.63,NA,NA,-3708.82,NA
"991",2016.54,-1641.94,NA,NA,-3882,NA
"992",2016.5417,NA,404.59,NA,NA,NA
"993",2016.625,NA,402.45,NA,NA,NA
"994",2016.64,-1587.87,NA,NA,-4133.96,NA
"995",2016.7083,NA,401.23,NA,NA,NA
"996",2016.7917,NA,401.79,NA,NA,NA
"997",2016.875,NA,403.72,NA,NA,NA
"998",2016.91,-1661.11,NA,NA,-4010.87,NA
"999",2016.9583,NA,404.64,NA,NA,NA
"1000",2016.98,-1571.79,NA,NA,-4074.02,NA
"1001",2017,NA,NA,0.92,NA,"4,82"
"1002",2017.0417,NA,406.36,NA,NA,NA
"1003",2017.06,-1591.3,NA,NA,-4021.55,NA
"1004",2017.125,NA,406.66,NA,NA,NA
"1005",2017.2083,NA,407.54,NA,NA,NA
"1006",2017.25,-1911.15,NA,NA,-4013,NA
"1007",2017.2917,NA,409.22,NA,NA,NA
"1008",2017.31,-1833.14,NA,NA,-3979.29,NA
"1009",2017.36,-1798.87,NA,NA,-3973.56,NA
"1010",2017.375,NA,409.89,NA,NA,NA
"1011",2017.44,-1796.49,NA,NA,-4000.98,NA
"1012",2017.4583,NA,409.08,NA,NA,NA
"1013",2017.5417,NA,407.33,NA,NA,NA
"1014",2017.625,NA,405.32,NA,NA,NA
"1015",2017.7083,NA,403.57,NA,NA,NA
"1016",2017.7917,NA,403.82,NA,NA,NA
"1017",2017.875,NA,405.31,NA,NA,NA
"1018",2017.9583,NA,407,NA,NA,NA
"1019",2018,NA,NA,0.85,NA,"4,79"
"1020",2018.0417,NA,408.15,NA,NA,NA
"1021",2018.125,NA,408.52,NA,NA,NA
"1022",2018.2083,NA,409.59,NA,NA,NA
"1023",2018.2917,NA,410.45,NA,NA,NA
"1024",2018.375,NA,411.44,NA,NA,NA
"1025",2018.45,-1967.5,NA,NA,-4055.15,NA
"1026",2018.4583,NA,410.99,NA,NA,NA
"1027",2018.52,-1983.12,NA,NA,-4079.01,NA
"1028",2018.5417,NA,408.9,NA,NA,NA
"1029",2018.625,NA,407.16,NA,NA,NA
"1030",2018.7083,NA,405.71,NA,NA,NA
"1031",2018.7917,NA,406.19,NA,NA,NA
"1032",2018.83,-2242.37,NA,NA,-4219.08,NA
"1033",2018.87,-2206.66,NA,NA,-4185.2,NA
"1034",2018.875,NA,408.21,NA,NA,NA
"1035",2018.9583,NA,409.27,NA,NA,NA
"1036",2018.96,-2258.68,NA,NA,-4196.42,NA
"1037",2019,NA,NA,0.98,NA,"4,36"
"1038",2019.04,-2349.45,NA,NA,-4201.46,NA
"1039",2019.0417,NA,411.03,NA,NA,NA
"1040",2019.12,-2392.7,NA,NA,-4227.59,NA
"1041",2019.125,NA,411.96,NA,NA,NA
"1042",2019.2,-2296.6,NA,NA,-4248.42,NA
"1043",2019.2083,NA,412.18,NA,NA,NA
"1044",2019.29,-2116.61,NA,NA,-4233.17,NA
"1045",2019.2917,NA,413.54,NA,NA,NA
"1046",2019.37,-2170.22,NA,NA,-4214.73,NA
"1047",2019.375,NA,414.86,NA,NA,NA
"1048",2019.45,-2262.15,NA,NA,-4270.56,NA
"1049",2019.4583,NA,414.16,NA,NA,NA
"1050",2019.54,-2166.4,NA,NA,-4472.29,NA
"1051",2019.5417,NA,411.97,NA,NA,NA
"1052",2019.62,-2211.57,NA,NA,-4701.73,NA
"1053",2019.625,NA,410.18,NA,NA,NA
"1054",2019.7083,NA,408.76,NA,NA,NA
"1055",2019.71,-2086.12,NA,NA,-4794.11,NA
"1056",2019.79,-2269.47,NA,NA,-4778.59,NA
"1057",2019.7917,NA,408.75,NA,NA,NA
"1058",2019.87,-2330.26,NA,NA,-4736.59,NA
"1059",2019.875,NA,410.48,NA,NA,NA
"1060",2019.9583,NA,411.98,NA,NA,NA
"1061",2019.96,-2375.21,NA,NA,-4741.08,NA
"1062",2020,NA,NA,1.02,NA,"4"
"1063",2020.04,-2683.42,NA,NA,-4778.74,NA
"1064",2020.0417,NA,413.61,NA,NA,NA
"1065",2020.12,-2793.27,NA,NA,-4732.5,NA
"1066",2020.125,NA,414.34,NA,NA,NA
"1067",2020.2083,NA,414.74,NA,NA,NA
"1068",2020.21,-2611.1,NA,NA,-4767.79,NA
"1069",2020.29,-2517,NA,NA,-4758.69,NA
"1070",2020.2917,NA,416.45,NA,NA,NA
"1071",2020.37,-2438.81,NA,NA,-4731.5,NA
"1072",2020.375,NA,417.31,NA,NA,NA
"1073",2020.4583,NA,416.6,NA,NA,NA
"1074",2020.46,-2405.06,NA,NA,-4769.17,NA
"1075",2020.54,-2336.46,NA,NA,-4922.5,NA
"1076",2020.5417,NA,414.62,NA,NA,NA
"1077",2020.62,-2228.37,NA,NA,-5004.54,NA
"1078",2020.625,NA,412.78,NA,NA,NA
"1079",2020.7083,NA,411.52,NA,NA,NA
"1080",2020.71,-2415.45,NA,NA,-5009.54,NA
"1081",2020.79,-2516.41,NA,NA,-4942.92,NA
"1082",2020.7917,NA,411.51,NA,NA,NA
"1083",2020.87,-2561.88,NA,NA,-4938.02,NA
"1084",2020.875,NA,413.12,NA,NA,NA
"1085",2020.9583,NA,414.26,NA,NA,NA
"1086",2020.96,-2714.83,NA,NA,-4916.28,NA
"1087",2021,NA,NA,0.84,NA,"4,92"
"1088",2021.04,-3029.88,NA,NA,-4856.03,NA
"1089",2021.0417,NA,415.52,NA,NA,NA
"1090",2021.12,-2714.44,NA,NA,-4917.86,NA
"1091",2021.125,NA,416.75,NA,NA,NA
"1092",2021.2,-2667.45,NA,NA,-4913.35,NA
"1093",2021.2083,NA,417.64,NA,NA,NA
"1094",2021.29,-2455.75,NA,NA,-4892.3,NA
"1095",2021.2917,NA,419.05,NA,NA,NA
"1096",2021.37,-2438.42,NA,NA,-4937.8,NA
"1097",2021.375,NA,419.13,NA,NA,NA
"1098",2021.4583,NA,418.94,NA,NA,NA
"1099",2021.46,-2603.65,NA,NA,-4932.72,NA
"1100",2021.54,-2650.01,NA,NA,-4969.59,NA
"1101",2021.5417,NA,416.96,NA,NA,NA
"1102",2021.62,-2602.02,NA,NA,-5108.09,NA
"1103",2021.625,NA,414.47,NA,NA,NA
"1104",2021.7083,NA,413.3,NA,NA,NA
"1105",2021.71,-2668.95,NA,NA,-5158.03,NA
"1106",2021.79,-2522.81,NA,NA,-5201.79,NA
"1107",2021.7917,NA,413.93,NA,NA,NA
"1108",2021.87,-2855.94,NA,NA,-5163.21,NA
"1109",2021.875,NA,415.01,NA,NA,NA
"1110",2021.9583,NA,416.71,NA,NA,NA
"1111",2021.96,-2744.04,NA,NA,-5132.78,NA
"1112",2022.04,-2704.92,NA,NA,-5123.3,NA
"1113",2022.0417,NA,418.19,NA,NA,NA
"1114",2022.12,-2663.26,NA,NA,-5110.06,NA
"1115",2022.125,NA,419.28,NA,NA,NA
"1116",2022.2,-2630.04,NA,NA,-5094.57,NA
"1117",2022.2083,NA,418.81,NA,NA,NA
"1118",2022.29,-2298.75,NA,NA,-5081.1,NA
"1119",2022.2917,NA,420.23,NA,NA,NA
"1120",2022.37,-2155.93,NA,NA,-5107.15,NA
"1121",2022.375,NA,420.99,NA,NA,NA
"1122",2022.45,-2358.85,NA,NA,-5087.88,NA
"1123",2022.4583,NA,420.99,NA,NA,NA
"1124",2022.54,-2419.38,NA,NA,-5166.61,NA
"1125",2022.5417,NA,418.9,NA,NA,NA
"1126",2022.625,NA,417.19,NA,NA,NA
